np,omp_threads,mode,grid,iters,repeat,runtime_s
2,8,encrypt,128,2000,1,0.161037
2,8,decrypt,128,2000,1,0.161129
2,8,encrypt,256,500,1,0.061028
2,8,decrypt,256,500,1,0.059105
2,8,encrypt,256,1000,1,0.112717
2,8,decrypt,256,1000,1,0.107590
2,8,encrypt,256,2000,1,0.205939
2,8,decrypt,256,2000,1,0.228676
2,8,encrypt,512,500,1,0.136007
2,8,decrypt,512,500,1,0.131738
2,8,encrypt,512,1000,1,0.249363
2,8,decrypt,512,1000,1,0.249569
2,8,encrypt,512,2000,1,0.497227
2,8,decrypt,512,2000,1,0.469713
2,8,encrypt,1024,500,1,0.431782
2,8,decrypt,1024,500,1,0.384498
2,8,encrypt,1024,1000,1,0.777839
2,8,decrypt,1024,1000,1,0.772108
2,8,encrypt,1024,2000,1,1.495165
2,8,decrypt,1024,2000,1,1.309154
2,10,encrypt,64,500,1,0.054862
2,10,decrypt,64,500,1,0.053500
2,10,encrypt,64,1000,1,0.100433
2,10,decrypt,64,1000,1,0.096592
2,10,encrypt,64,2000,1,0.187647
2,10,decrypt,64,2000,1,0.191909
2,10,encrypt,128,500,1,0.055846
2,10,decrypt,128,500,1,0.053193
2,10,encrypt,128,1000,1,0.102204
2,10,decrypt,128,1000,1,0.102316
2,10,encrypt,128,2000,1,0.196271
2,10,decrypt,128,2000,1,0.193244
2,10,encrypt,256,500,1,0.064965
2,10,decrypt,256,500,1,0.060748
2,10,encrypt,256,1000,1,0.127767
2,10,decrypt,256,1000,1,0.148370
2,10,encrypt,256,2000,1,0.228690
2,10,decrypt,256,2000,1,0.226996
2,10,encrypt,512,500,1,0.129776
2,10,decrypt,512,500,1,0.130260
2,10,encrypt,512,1000,1,0.239212
2,10,decrypt,512,1000,1,0.239981
2,10,encrypt,512,2000,1,0.510158
2,10,decrypt,512,2000,1,0.464259
2,10,encrypt,1024,500,1,0.387003
2,10,decrypt,1024,500,1,0.335817
2,10,encrypt,1024,1000,1,0.721903
2,10,decrypt,1024,1000,1,0.668060
2,10,encrypt,1024,2000,1,1.369220
2,10,decrypt,1024,2000,1,1.351950
2,12,encrypt,64,500,1,0.062556
2,12,decrypt,64,500,1,0.063059
2,12,encrypt,64,1000,1,0.117123
2,12,decrypt,64,1000,1,0.116654
2,12,encrypt,64,2000,1,0.223261
2,12,decrypt,64,2000,1,0.222550
2,12,encrypt,128,500,1,0.063682
2,12,decrypt,128,500,1,0.062493
2,12,encrypt,128,1000,1,0.118153
2,12,decrypt,128,1000,1,0.117562
2,12,encrypt,128,2000,1,0.226468
2,12,decrypt,128,2000,1,0.225536
2,12,encrypt,256,500,1,0.075650
2,12,decrypt,256,500,1,0.066510
2,12,encrypt,256,1000,1,0.131406
2,12,decrypt,256,1000,1,0.130916
2,12,encrypt,256,2000,1,0.259266
2,12,decrypt,256,2000,1,0.270539
2,12,encrypt,512,500,1,0.150752
2,12,decrypt,512,500,1,0.137259
2,12,encrypt,512,1000,1,0.251907
2,12,decrypt,512,1000,1,0.252471
2,12,encrypt,512,2000,1,0.527710
2,12,decrypt,512,2000,1,0.502864
2,12,encrypt,1024,500,1,0.369089
2,12,decrypt,1024,500,1,0.411414
2,12,encrypt,1024,1000,1,0.716339
2,12,decrypt,1024,1000,1,0.678665
2,12,encrypt,1024,2000,1,1.350260
2,12,decrypt,1024,2000,1,1.384823
4,1,encrypt,64,500,1,0.013315
4,1,decrypt,64,500,1,0.015065
4,1,encrypt,64,1000,1,0.017005
4,1,decrypt,64,1000,1,0.012238
4,1,encrypt,64,2000,1,0.026668
4,1,decrypt,64,2000,1,0.020176
4,1,encrypt,128,500,1,0.022857
4,1,decrypt,128,500,1,0.018827
4,1,encrypt,128,1000,1,0.030303
4,1,decrypt,128,1000,1,0.027101
4,1,encrypt,128,2000,1,0.049809
4,1,decrypt,128,2000,1,0.046896
4,1,encrypt,256,500,1,0.051071
4,1,decrypt,256,500,1,0.051665
4,1,encrypt,256,1000,1,0.087571
4,1,decrypt,256,1000,1,0.088216
4,1,encrypt,256,2000,1,0.161386
4,1,decrypt,256,2000,1,0.179583
